outcome,month,MMWR week,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population,Crude vax IR,Crude unvax IR,Crude IRR,Age adjusted vax IR,Age adjusted unvax IR,Age adjusted IRR,Continuity correction
case,04 - APR,202114,12-17,all_types,7,"38,220","29,459","16,946,683",18.31501832,173.8334281,9.491305172,,,,0
case,04 - APR,202115,12-17,all_types,4,"56,121","29,153","16,671,338",7.127456745,174.8689877,24.53455615,,,,0
case,04 - APR,202116,12-17,all_types,6,"87,173","25,160","16,388,829",6.882865107,153.5192051,22.30454944,,,,0
case,04 - APR,202117,12-17,all_types,21,"140,242","23,465","16,135,529",14.97411617,145.4244233,9.711719989,,,,0
case,05 - MAY,202118,12-17,all_types,12,"237,327","18,697","15,963,947",5.056314705,117.1201583,23.16314651,,,,0
case,05 - MAY,202119,12-17,all_types,11,"403,228","14,390","15,581,914",2.72798516,92.35065731,33.8530644,,,,0
case,05 - MAY,202120,12-17,all_types,24,"676,046","10,423","14,331,041",3.550054286,72.73023642,20.48707725,,,,0
case,05 - MAY,202121,12-17,all_types,27,"953,538","6,753","13,600,380",2.831559938,49.6530244,17.53557244,,,,0
case,06 - JUN,202122,12-17,all_types,39,"1,200,161","5,173","13,142,228",3.249564017,39.36166684,12.11290703,,,,0
case,06 - JUN,202123,12-17,all_types,41,"1,362,839","4,474","12,739,290",3.008425794,35.11969662,11.67377859,,,,0
case,06 - JUN,202124,12-17,all_types,44,"1,758,732","4,240","12,432,635",2.501802435,34.10379216,13.63168877,,,,0
case,06 - JUN,202125,12-17,all_types,97,"2,937,102","4,902","12,080,550",3.302575123,40.57762271,12.28666153,,,,0
case,06 - JUN,202126,12-17,all_types,151,"3,721,491","6,844","11,764,443.1",4.057513507,58.17529943,14.3376724,,,,1
case,07 - JUL,202127,12-17,all_types,220,"4,151,208","9,275","11,546,261.1",5.299662171,80.32903396,15.15738766,,,,1
case,07 - JUL,202128,12-17,all_types,489,"4,494,020","14,800","11,291,955.1",10.88112648,131.0667627,12.04533033,,,,1
case,07 - JUL,202129,12-17,all_types,902,"4,753,838","24,445","11,000,489.1",18.97414258,222.2173921,11.71159072,,,,1
case,07 - JUL,202130,12-17,all_types,"1,558","5,004,217","35,915","10,647,961.1",31.1337418,337.2946207,10.83373219,,,,1
case,08 - AUG,202131,12-17,all_types,"2,286","5,231,297","44,412","10,236,483.1",43.69853212,433.8599455,9.928478702,,,,1
case,08 - AUG,202132,12-17,all_types,"2,809","5,428,449","55,396","9,820,229.1",51.74590385,564.1008925,10.90136321,,,,1
case,08 - AUG,202133,12-17,all_types,"3,654","5,652,125","72,661","9,473,783.1",64.64825176,766.9692163,11.8637271,,,,1
case,08 - AUG,202134,12-17,all_types,"4,673","5,920,890","85,927","9,160,792.1",78.92394556,937.9865743,11.88468934,,,,1
case,09 - SEP,202135,12-17,all_types,"4,876","6,246,917","78,990","8,868,936.1",78.05450273,890.6367022,11.41044618,,,,1
case,09 - SEP,202136,12-17,all_types,"4,214","6,624,811","61,635","8,655,813.1",63.60936184,712.0648203,11.19433995,,,,1
case,09 - SEP,202137,12-17,all_types,"4,040","7,013,105","51,711","8,441,356.1",57.60643823,612.5911452,10.63407432,,,,1
case,09 - SEP,202138,12-17,all_types,"3,713","7,314,316","43,548","8,273,712.1",50.76346168,526.3417372,10.36851546,,,,1
case,09 - SEP,202139,12-17,all_types,"3,444","7,590,154","36,310","8,138,657.1",45.37457343,446.1423986,9.832431798,,,,1
case,10 - OCT,202140,12-17,all_types,"3,309","7,822,353","30,854","8,023,304.1",42.30184958,384.5547871,9.090732223,,,,1
case,10 - OCT,202141,12-17,all_types,"2,861","7,999,795","25,235","7,925,817.1",35.76341644,318.3898856,8.902669749,,,,1
case,10 - OCT,202142,12-17,all_types,"2,860","8,151,352","22,305","7,840,528.1",35.08620411,284.4833883,8.1081267,,,,1
case,10 - OCT,202143,12-17,all_types,"2,903","8,274,367","22,827","7,766,354.1",35.08425478,293.9217,8.377595643,,,,1
case,11 - NOV,202144,12-17,all_types,"3,501","8,377,616","24,323","7,692,158.1",41.78993165,316.2051492,7.566539039,,,,1
case,11 - NOV,202145,12-17,all_types,"3,903","8,466,220","26,419","7,609,278.1",46.10085729,347.194565,7.531195414,,,,1
case,11 - NOV,202146,12-17,all_types,"4,422","8,544,587","27,857","7,514,417.1",51.75206245,370.7140505,7.163271045,,,,1
case,11 - NOV,202147,12-17,all_types,"3,594","8,610,806","20,536","7,440,182.1",41.73825307,276.0147497,6.612992384,,,,1
case,12 - DEC,202148,12-17,all_types,"6,439","8,672,293","33,639","7,369,755.1",74.24795265,456.4466464,6.147599093,,,,1
case,12 - DEC,202149,12-17,all_types,"6,519","8,725,253","31,708","7,299,948.1",74.71416588,434.3592525,5.813613086,,,,1
case,12 - DEC,202150,12-17,all_types,"13,677","8,794,535","37,358","7,229,755.1",155.5170342,516.7256634,3.322630644,,,,1
case,12 - DEC,202151,12-17,all_types,"34,042","8,877,761","50,395","7,159,135.1",383.4525394,703.9258136,1.835757339,,,,1
death,04 - APR,202114,12-17,all_types,0,"35,466",3,"15,377,813",0,0.0195086,,,,,0
death,04 - APR,202115,12-17,all_types,0,"50,710",6,"15,135,106",0,0.0396429,,,,,0
death,04 - APR,202116,12-17,all_types,0,"77,615",3,"14,879,376",0,0.0201621,,,,,0
death,04 - APR,202117,12-17,all_types,0,"122,726",2,"14,646,694",0,0.013655,,,,,0
death,05 - MAY,202118,12-17,all_types,0,"210,373",1,"14,490,049",0,0.00690129,,,,,0
death,05 - MAY,202119,12-17,all_types,0,"361,842",5,"14,136,008",0,0.0353707,,,,,0
death,05 - MAY,202120,12-17,all_types,0,"604,893",3,"13,015,318",0,0.0230498,,,,,0
death,05 - MAY,202121,12-17,all_types,0,"856,719",1,"12,377,255",0,0.0080793,,,,,0
death,06 - JUN,202122,12-17,all_types,0,"1,082,911",1,"11,963,218",0,0.008359,,,,,0
death,06 - JUN,202123,12-17,all_types,0,"1,231,133",3,"11,597,655",0,0.0258673,,,,,0
death,06 - JUN,202124,12-17,all_types,0,"1,601,773",1,"11,318,526",0,0.0088351,,,,,0
death,06 - JUN,202125,12-17,all_types,0,"2,661,632",4,"10,989,643",0,0.0363979,,,,,0
